FOOTBALL_DATA;SQUAWKA;TRANSFERMARKT;UNDERSTAT
Newcastle;Newcastle Utd.;Newcastle Utd.;Newcastle United
Nice;OGC Nizza;OGC Nizza;Nice
Nimes;Nîmes Olympique;Nîmes Olympique;Nimes
Norwich;Norwich City;Norwich City;Norwich
Novara;Novara Calcio;Novara Calcio;
Numancia;CD Numancia;CD Numancia;
Nurnberg;1.FC Nürnberg;1.FC Nürnberg;Nuernberg
Oberhausen;RW Oberhausen;RW Oberhausen;
Offenbach;K. Offenbach;K. Offenbach;
Osasuna;CA Osasuna;CA Osasuna;Osasuna
Osnabruck;VfL Osnabrück;VfL Osnabrück;
Paderborn;SC Paderborn;SC Paderborn;Paderborn
Palermo;US Palermo;US Palermo;Palermo
Paris SG;Paris SG;Paris SG;Paris Saint Germain
Parma;Parma Calcio;Parma Calcio;Parma Calcio 1913
Pescara;Delfino Pescara;Delfino Pescara;Pescara
Portsmouth;FC Portsmouth;FC Portsmouth;
QPR;QPR;QPR;Queens Park Rangers
RB Leipzig;RB Leipzig;RB Leipzig;RasenBallsport Leipzig
Reading;FC Reading;FC Reading;
Real Madrid;Real Madrid;Real Madrid;Real Madrid
Recreativo;Recr. Huelva;Recr. Huelva;
Regensburg;Jahn Regensburg;Jahn Regensburg;
Reggina;Reggina;Reggina;
Reims;Stade Reims;Stade Reims;Reims
Rennes;Stade Rennes;Stade Rennes;Rennes
Roma;AS Rom;AS Rom;Roma
Saarbrucken;Saarbrücken;Saarbrücken;
Sampdoria;Sampdoria;Sampdoria;Sampdoria
Sandhausen;SV Sandhausen;SV Sandhausen;
Santander;Rac. Santander;Rac. Santander;
Saragossa;Real Saragossa;Real Saragossa;
Sassuolo;US Sassuolo;US Sassuolo;Sassuolo
Schalke 04;Schalke;FC Schalke 04;Schalke 04
Sedan;CS Sedan;CS Sedan;
Sevilla;FC Sevilla;FC Sevilla;Sevilla
Sheffield United;Sheffield Utd.;Sheffield Utd.;Sheffield United
Siegen;Spfr. Siegen;Spfr. Siegen;
Siena;Siena;Siena;
Sochaux;FC Sochaux;FC Sochaux;
Sociedad;Real Sociedad;Real Sociedad;Real Sociedad
Southampton;FC Southampton;FC Southampton;Southampton
Sp Gijon;Sporting Gijón;Sporting Gijón;Sporting Gijon
Spal;SPAL;SPAL;SPAL 2013
St Etienne;AS St.-Étienne;AS St.-Étienne;Saint-Etienne
St Pauli;FC St. Pauli;FC St. Pauli;
Stoke;Stoke City;Stoke City;Stoke
Strasbourg;R. Straßburg;R. Straßburg;Strasbourg
Stuttgart;VfB Stuttgart;VfB Stuttgart;VfB Stuttgart
Sunderland;AFC Sunderland;AFC Sunderland;Sunderland
Swansea;Swansea City;Swansea City;Swansea
Tenerife;CD Teneriffa;CD Teneriffa;
Torino;FC Turin;FC Turin;Torino
Tottenham;Tottenham;Tottenham;Tottenham
Toulouse;FC Toulouse;FC Toulouse;Toulouse
Treviso;Treviso;Treviso;
Troyes;ES Troyes AC;ES Troyes AC;Troyes
Udinese;Udinese Calcio;Udinese Calcio;Udinese
Udinese;Udinese;Udinese;Udinese
Union Berlin;Union Berlin;Union Berlin;Union Berlin
Unterhaching;Unterhaching;Unterhaching;
Valencia;FC Valencia;FC Valencia;Valencia
Valenciennes;Valenciennes FC;Valenciennes FC;
Valladolid;Real Valladolid;Real Valladolid;Real Valladolid
Vallecano;Rayo Vallecano;Rayo Vallecano;Rayo Vallecano
Verona;Hellas Verona;Hellas Verona;Verona
Villarreal;FC Villarreal;FC Villarreal;Villarreal
Watford;FC Watford;FC Watford;Watford
Wehen;Wehen Wiesbaden;Wehen Wiesbaden;
Werder Bremen;Werder;Werder Bremen;Werder Bremen
West Brom;West Brom;West Brom;West Bromwich Albion
West Ham;West Ham Utd.;West Ham Utd.;West Ham
Wigan;Wigan Athletic;Wigan Athletic;
Wolfsburg;Wolfsburg;VfL Wolfsburg;Wolfsburg
Wolves;Wolverhampton;Wolverhampton;Wolverhampton Wanderers
Wurzburger Kickers;Würzb. Kickers;Würzb. Kickers;
Xerez;Deportivo Xerez;Deportivo Xerez;
